epoch,train_wmse5,val_wmse,val_wmse5,val_ce_f,val_ce_t,val_rmse_cp,val_corr,val_slope
1,0.2737630381578185,0.1974601919410098,0.9873009673913915,3.4100725454471275,3.798795670220218,261.60748291015625,0.7563848810668692,0.5707759840343851
2,0.22137057027099305,0.17795722820840754,0.8897861486675384,2.750824624156011,3.5727960725916046,249.18145751953125,0.7812249424390203,0.593830843581066
3,0.20849334541034908,0.16402604391113274,0.8201302152866001,2.4389208521555785,3.4174997232202853,240.3522186279297,0.7980338455735964,0.6241367851343526
4,0.1990034155451928,0.16528390808833948,0.8264195360103891,2.2563766004601966,3.321761714312932,241.57473754882812,0.7958956532569066,0.6438354349902128
5,0.18745109426475376,0.19446392980977442,0.972319656649022,2.1906595389913566,3.267411834571426,260.2119445800781,0.7752918499129677,0.6218133067833426
6,0.18527230083247861,0.17167628472072002,0.8583814310922068,2.0357481675636366,3.137486716199384,247.86878967285156,0.7966931247033228,0.6453533847049162
7,0.17887240038192767,0.17575498122510233,0.8787749035295965,2.0438328411515045,3.1041846949456295,251.1477813720703,0.7933360656902997,0.6805871576720551
8,0.18053531782343404,0.16656160503169556,0.8328080274045528,2.014286103723973,3.0712774263104845,247.72802734375,0.8018520175153878,0.7185062475627625
9,0.1645789535606385,0.14642737289195404,0.7321368730080375,1.8619945947310275,2.931423794537752,228.5949249267578,0.8195254942328917,0.6900242382893447
10,0.15694152609501158,0.14898725722508593,0.7449362870988979,1.8280252743513659,2.895481555873174,229.0868682861328,0.8221826552752081,0.6829506901198406
11,0.15591742396050493,0.14344290903775456,0.7172145472979538,1.8175507485359532,2.8617853539133606,224.617919921875,0.8284589102567127,0.7063771053349702
12,0.15338325303846692,0.14160801007375298,0.7080400540496914,1.813027478878739,2.850736502848259,224.6011962890625,0.8273002168677305,0.6614285831120036
13,0.1500077149976909,0.14024229253908127,0.7012114635573313,1.7964234474606562,2.8121401467019904,223.88343811035156,0.8287911095684652,0.7048139790435318
14,0.14525566071251617,0.1420291199362493,0.7101455959749692,1.7570386134917009,2.774464686900915,225.30230712890625,0.8277815416465805,0.6929663535243777
15,0.14601754000638734,0.13687223348894587,0.6843611675689479,1.737597087119947,2.752064615822682,220.09950256347656,0.8356288597906901,0.7010887523474549
16,0.14191032774246418,0.1345488806719397,0.6727443992909058,1.7378346205325548,2.7311502255806106,218.25343322753906,0.8372297582002277,0.6792107738624968
17,0.14196904947157568,0.1337249827054375,0.6686249180446883,1.7088980406228682,2.701677296671911,218.58969116210938,0.8375049303579772,0.704112781247241
18,0.14200198235784126,0.1382839803277493,0.6914199033980875,1.7334784166307504,2.6917965828297534,223.91395568847656,0.8292101345364549,0.7030972091194955
19,0.1383769532430027,0.15042188663229564,0.7521094372175956,1.7062654547968783,2.6681613713634706,232.67633056640625,0.8133125050428163,0.6968991340322743
20,0.13639425448873693,0.13390904313378613,0.6695452132732862,1.6879684043685041,2.6289123496704256,215.9265899658203,0.8417830589294192,0.6922926247834463
21,0.13112706850786096,0.1282140487749871,0.6410702402675261,1.6947036513101086,2.6283320751105816,214.56663513183594,0.8436556579771527,0.7241718499080769
22,0.13071076418582483,0.13382135236818962,0.6691067588698422,1.6946623660788807,2.6146585111433085,217.16165161132812,0.8393525589259381,0.6737200401871666
23,0.13273811971765093,0.1292074501042911,0.6460372486987378,1.6898143190881678,2.6141789032513287,216.1399688720703,0.8420569926549245,0.7316813651714679
24,0.13845438713158253,0.13867219416573567,0.6933609721773374,1.6928433385500496,2.618423706416818,221.02586364746094,0.8349919455218153,0.6577821649973948
25,0.1377089253349593,0.13027687092172568,0.6513843522991766,1.6739533762819876,2.5680234835398528,215.30105590820312,0.8418442965337625,0.6905416090354203
26,0.12670545387647789,0.13061616669385845,0.6530808298999089,1.65422220950469,2.5560391457075164,214.29063415527344,0.8466583052438356,0.6777592741054913
27,0.1250405185893552,0.12571412341129864,0.6285706151095569,1.621312066461408,2.522498996860521,210.7593994140625,0.8500851167206247,0.7095825467427719
28,0.11925299693286505,0.1277240041761262,0.6386200228529181,1.6147791960077977,2.511586339833096,212.87863159179688,0.8472369424240317,0.7280155579234242
29,0.12107786895469448,0.12466990315476094,0.6233495163974327,1.619451955614872,2.5079254763351084,210.79637145996094,0.8487653330170616,0.7129183199812726
30,0.11819185407817531,0.125308576729193,0.6265428815621347,1.6106323123829995,2.4915789229077276,211.5448760986328,0.8487706970595247,0.7331133987675351
31,0.11689486606807807,0.12652649469838415,0.632632472880968,1.6029619951968535,2.493932084998293,212.69100952148438,0.8462883402426297,0.7278468200735598
32,0.11908636050642758,0.12248221678864027,0.6124110854414297,1.600751834890801,2.4785564011479364,208.66981506347656,0.8526951668766435,0.6985602192039091
33,0.11802684230638208,0.12203110222631508,0.6101555117298527,1.6017449642371546,2.47564297673166,208.88467407226562,0.852422340974793,0.724829286832469
34,0.11829287825777912,0.12344464844244198,0.617223240315975,1.5962909624746113,2.4577659963547434,209.86891174316406,0.8507552470733062,0.7168824362407245
35,0.11877765231220416,0.1204598112353138,0.6022990531319459,1.5880331422001701,2.453490679018268,207.14048767089844,0.8551791120768945,0.7226548748243142
36,0.11608253798994207,0.12243195246701015,0.6121597646571779,1.591308170210224,2.452007115799864,208.68516540527344,0.8524946326231455,0.7158471375204966
37,0.11317763527690669,0.1236957767588543,0.6184788878250381,1.5898391870302018,2.4415804854701593,209.1470489501953,0.8517752457792557,0.702782084768273
38,0.11445943773061511,0.12340493767175921,0.6170246868605677,1.5802748152981732,2.4387176594956466,209.1611785888672,0.8518062255391543,0.7189601446199152
39,0.11664824454802847,0.12280310564916853,0.6140155302054544,1.5717971572343814,2.425566416607701,208.1511993408203,0.853497929174834,0.6993020612100413
40,0.11829957175495126,0.12497228133806204,0.6248614112711878,1.6005451245225177,2.447336510275042,210.00784301757812,0.850120322919894,0.708303209162398
41,0.11174925256314869,0.12240508407628142,0.6120254154633649,1.5669426890042575,2.4121909045816157,207.457275390625,0.8555347607613246,0.7057785050792761
42,0.11064820276950202,0.12145875477494736,0.6072937746606095,1.5666414912195585,2.404475915184553,207.8738555908203,0.8538366550675933,0.7193702026838396
43,0.11026956685038868,0.12072847282128012,0.6036423629706877,1.5642648590142405,2.396698225757304,205.9029998779297,0.8564994123287615,0.7172288285526512
